year,station,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,FZF6,FZF7,TAVG,TMAX,TMIN,CDSD,CLDD,FZF1,HDSD,HTDD,FZF8,FZF2,FZF9,FZF3,FZF4,DP01,DP10,DP1X,EMXP,PRCP,DSND,DSNW,EMSD,EMSN,SNOW,DYTS
1803,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,
1804,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,167.0,,,,,,,,,,
1824,GHCND:GM000004204,,,,,,,,,,,,,,,43.9,,,,,,,,,,,,,,,,,,,,
1832,GHCND:ASN00066046,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,12.0,198.1,923.7,,,,,,
1833,GHCND:BE000006447,0.0,65.0,11.0,83.0,0.0,-10.3,28.2,-1.1,-0.4,-2.4,-6.0,9.6,14.13,5.07,17.1,17.1,-2.3,,,-7.8,-4.8,-9.8,,,,,,,,,,,,,
1834,GHCND:BE000006447,0.0,40.0,0.0,117.0,1.0,-4.8,32.9,-0.9,-0.3,-3.9,-4.4,11.43,15.72,7.13,161.1,161.1,-3.4,2892.8,2892.8,,-4.8,,,,,,,,,,,,,,
1835,GHCND:BE000006447,0.0,61.0,2.0,78.0,0.0,-11.3,29.8,-0.4,-0.5,-3.1,-5.8,9.87,14.14,5.61,63.4,63.4,-2.4,2738.8,2738.8,,-5.3,,-9.2,-9.2,,,,,,,,,,,
1836,GHCND:BE000006447,0.0,48.0,8.0,62.0,0.0,-12.2,29.9,-1.3,-0.3,-2.8,-5.3,9.94,13.96,5.91,41.2,41.2,-4.0,3066.0,3066.0,-6.9,-5.6,-12.2,-7.2,-8.9,,,,,,,,,,,
1837,GHCND:BE000006447,0.0,74.0,2.0,80.0,0.0,-7.1,29.8,-0.9,-1.7,-3.2,-5.0,9.24,13.27,5.2,63.3,63.3,-2.3,3242.3,3242.3,-6.8,,,,,,,,,,,,,,,
1838,GHCND:BE000006447,4.0,81.0,32.0,67.0,0.0,-19.6,30.7,-0.6,-0.6,-2.2,-4.4,,,,47.0,47.0,-6.2,3381.1,3381.1,-7.0,-6.2,-11.9,-6.9,,,,,,,,,,,,
1839,GHCND:BE000006447,0.0,65.0,3.0,82.0,1.0,-11.5,32.4,-1.0,-1.3,-3.0,-4.6,9.87,13.97,,56.4,56.4,-2.6,3258.1,3258.1,-7.8,,-11.5,,,,,,,,,,,,,
1840,GHCND:BE000006447,0.0,74.0,24.0,61.0,0.0,-13.8,27.4,-1.8,-1.2,-2.4,-4.7,,,,19.0,19.0,-2.4,3023.3,,-6.9,-6.0,-10.2,-11.2,-11.2,,,,,,,,,,,
1841,GHCND:BE000006447,0.0,53.0,17.0,71.0,0.0,-12.4,28.5,-1.7,-2.2,-2.2,-6.8,9.81,,,36.7,36.7,-2.8,3214.7,3214.7,-6.8,-5.3,-12.4,,,,,,,,,,,,,
1842,GHCND:BE000006447,0.0,73.0,15.0,96.0,1.0,-13.5,32.6,-0.6,-3.3,-3.3,-6.0,9.51,,,98.3,98.3,-6.0,3154.6,3154.6,-8.5,-6.0,-13.5,,,,,,,,,,,,,
1843,GHCND:BE000006447,0.0,76.0,1.0,63.0,1.0,-6.6,32.6,-0.6,-1.8,-3.6,-6.6,,,,31.7,31.7,-2.2,3170.1,,,,,,,,,,,,,,,,,
1845,GHCND:BE000006447,0.0,76.0,18.0,,,,,,,,,,,,29.3,29.3,,,,,,,,,,,,,,,,,,,
1847,GHCND:BE000006447,0.0,78.0,29.0,70.0,0.0,-11.2,31.9,-0.1,-0.8,-8.9,-8.9,8.97,13.13,,83.4,83.4,-4.4,,,-8.9,-4.4,-8.9,-6.9,,,,,,,,,,,,
1850,GHCND:BE000006447,0.0,70.0,16.0,69.0,0.0,-14.3,30.4,-0.6,-0.2,-2.9,-4.4,9.18,13.33,5.05,31.2,31.2,-2.6,,,-7.1,,-9.5,,,,,,,,,,,,,
1851,GHCND:BE000006447,0.0,56.0,1.0,64.0,0.0,-5.8,29.3,-0.2,-0.7,-2.3,-4.4,9.61,13.53,5.69,38.1,38.1,-4.0,3180.1,3180.1,,-5.8,,,,,,,,,,,,,,
1852,GHCND:BE000006447,0.0,53.0,0.0,87.0,2.0,-4.4,32.8,-1.5,-0.8,-3.1,-4.4,10.67,14.8,6.54,123.0,123.0,,3204.3,3204.3,,,,,,,,,,,,,,,,
1853,GHCND:BE000006447,0.0,92.0,24.0,77.0,0.0,-16.7,30.6,-0.6,0.0,,,,,,40.9,40.9,-3.3,,,,-4.6,,-7.0,-11.9,,,,,,,,,,,
1854,GHCND:BE000006447,0.0,54.0,4.0,58.0,0.0,-7.2,30.2,-0.7,-1.3,-2.4,-7.2,9.73,13.77,5.69,39.9,39.9,-2.4,3212.0,3212.0,-7.2,,,,,,,,,,,,,,,
1846,GHCND:BE000006447,0.0,53.0,14.0,97.0,4.0,-13.2,34.2,-0.3,-0.7,-5.8,-5.8,,,,,,-2.3,,,,-4.4,,-13.2,-13.2,,,,,,,,,,,
