tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,usertype,birth year
399,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,22953,Subscriber,1988
397,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,21435,Customer,
1072,301,40.72217444,-73.98368779,329,40.72043411,-74.01020609,22901,Subscriber,1982
143,301,40.72217444,-73.98368779,349,40.71850211,-73.98329859,22660,Subscriber,1982
468,301,40.72217444,-73.98368779,342,40.71739973,-73.98016555,16780,Subscriber,1966
1352,301,40.72217444,-73.98368779,539,40.71534825,-73.96024116,19160,Subscriber,1985
1350,301,40.72217444,-73.98368779,539,40.71534825,-73.96024116,15061,Subscriber,1986
350,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,23520,Subscriber,1987
767,301,40.72217444,-73.98368779,376,40.70862144,-74.00722156,22660,Subscriber,1991
1643,301,40.72217444,-73.98368779,147,40.71542197,-74.01121978,22792,Subscriber,1960
1626,301,40.72217444,-73.98368779,147,40.71542197,-74.01121978,23863,Subscriber,1954
289,301,40.72217444,-73.98368779,356,40.71622644,-73.98261206,22568,Subscriber,1968
715,301,40.72217444,-73.98368779,539,40.71534825,-73.96024116,18291,Subscriber,1985
617,301,40.72217444,-73.98368779,402,40.7403432,-73.98955109,15628,Subscriber,1978
290,301,40.72217444,-73.98368779,445,40.72740794,-73.98142006,19256,Subscriber,1984
1838,301,40.72217444,-73.98368779,441,40.756014,-73.967416,22484,Subscriber,1956
166,301,40.72217444,-73.98368779,400,40.71926081,-73.98178024,22516,Subscriber,1964
709,301,40.72217444,-73.98368779,355,40.71602118,-73.99974372,23254,Subscriber,1988
10706,301,40.72217444,-73.98368779,410,40.72066442,-73.98517977,15969,Subscriber,1986
528,301,40.72217444,-73.98368779,174,40.7381765,-73.97738662,23023,Subscriber,1988
333,301,40.72217444,-73.98368779,394,40.72521311,-73.97768752,16595,Subscriber,1984
1470,301,40.72217444,-73.98368779,218,40.69028437,-73.98707105,22540,Subscriber,1971
246,301,40.72217444,-73.98368779,236,40.7284186,-73.98713956,22444,Subscriber,1969
557,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,19929,Customer,
332,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,16060,Subscriber,1958
2825,301,40.72217444,-73.98368779,504,40.73221853,-73.98165557,21954,Subscriber,1984
490,301,40.72217444,-73.98368779,2009,40.71117444,-73.99682619,23657,Subscriber,1991
596,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,22262,Subscriber,1960
206,301,40.72217444,-73.98368779,394,40.72521311,-73.97768752,21325,Subscriber,1989
1087,301,40.72217444,-73.98368779,367,40.75828065,-73.97069431,15947,Subscriber,1983
787,301,40.72217444,-73.98368779,358,40.73291553,-74.00711384,14630,Subscriber,1988
284,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,16870,Subscriber,1992
374,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,18088,Subscriber,1959
466,301,40.72217444,-73.98368779,375,40.72679454,-73.99695094,20517,Subscriber,1979
136,301,40.72217444,-73.98368779,349,40.71850211,-73.98329859,22542,Subscriber,1965
1176,301,40.72217444,-73.98368779,440,40.75255434,-73.97282625,20968,Subscriber,1991
1248,301,40.72217444,-73.98368779,456,40.7597108,-73.97402311,20131,Subscriber,1990
204,301,40.72217444,-73.98368779,403,40.72502876,-73.99069656,20840,Subscriber,1982
680,301,40.72217444,-73.98368779,358,40.73291553,-74.00711384,18204,Subscriber,1991
1467,301,40.72217444,-73.98368779,477,40.75640548,-73.9900262,18854,Subscriber,1990
256,301,40.72217444,-73.98368779,311,40.7172274,-73.98802084,19699,Subscriber,1975
